Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Red,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,177.8,177.8,155,0,2,3,6,0,0,1,5,3,0,0,9,172.72,172.72,155,22,33,0,1,0,0,0,1,0,0
Red,FALSE,3,0,3,3,0,0,0,1,0,2,0,0,3,165.1,172.72,125,0,3,3,4,0,0,0,5,0,3,0,8,165.1,170.18,125,31,33,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,1,0,0,1,0,0,0,0,1,177.8,177.8,145,1,0,1,1,0,0,0,0,0,1,0,1,190.5,190.5,155,28,25,0,1,0,0,0,0,1,0
Red,FALSE,3,0,3,3,1,0,0,0,3,0,0,0,3,165.1,170.18,125,0,1,1,0,0,0,0,0,1,0,0,1,165.1,165.1,125,26,20,0,0,1,0,0,0,0,1
Red,FALSE,3,0,1,1,0,0,0,0,0,0,1,0,1,177.8,187.96,145,0,1,1,0,0,1,0,0,0,0,0,1,177.8,177.8,145,28,24,0,1,0,0,0,0,1,0
Red,FALSE,3,0,2,3,3,0,0,2,3,0,0,0,5,167.64,167.64,135,0,2,3,4,0,0,0,1,2,3,0,6,172.72,177.8,135,38,26,0,1,0,0,0,0,0,1
Blue,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,162.56,162.56,125,1,0,3,3,1,0,2,3,0,1,0,6,167.64,172.72,125,30,34,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,1,5,0,0,0,3,0,0,0,3,160.02,162.56,115,2,0,1,6,0,0,1,3,0,0,0,4,162.56,160.02,115,34,33,0,1,0,0,0,1,0,0
Blue,FALSE,5,2,0,3,6,0,0,0,5,3,1,0,9,180.34,187.96,170,1,0,4,2,1,0,0,3,2,0,0,5,182.88,187.96,170,34,26,0,1,0,0,0,0,1,0
Red,FALSE,3,0,1,4,3,0,0,0,1,0,7,0,8,180.34,182.88,170,0,6,6,2,0,0,0,5,2,1,0,8,182.88,187.96,170,30,27,0,0,0,1,0,0,1,0
Blue,FALSE,3,0,3,3,0,0,0,0,1,1,1,0,3,193.04,195.58,205,2,0,3,2,1,0,1,0,2,0,0,3,187.96,190.5,205,29,29,0,0,1,0,0,1,0,0
Red,FALSE,3,0,4,4,1,1,0,0,3,0,1,0,4,172.72,175.26,135,0,2,2,0,0,0,0,0,0,2,0,2,167.64,175.26,135,28,25,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,3,3,0,0,0,1,1,0,1,0,3,180.34,180.34,170,0,2,2,2,0,0,1,1,2,1,0,5,185.42,187.96,170,36,31,0,0,1,0,0,0,1,0
Red,FALSE,3,2,0,0,2,0,0,0,0,0,0,0,0,180.34,190.5,185,2,0,1,3,0,0,0,1,1,0,0,2,182.88,185.42,185,33,29,0,0,1,0,0,1,0,0
Red,FALSE,3,0,1,1,2,0,0,0,1,0,1,0,2,177.8,182.88,145,0,4,4,0,0,0,1,1,0,2,0,4,172.72,177.8,145,31,25,0,1,0,0,0,0,1,0
Red,FALSE,3,1,0,2,2,0,0,0,1,1,2,0,4,177.8,185.42,155,2,0,3,2,0,0,0,1,2,0,0,3,177.8,185.42,155,31,25,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,2,2,1,0,0,0,1,1,0,0,2,170.18,180.34,145,0,2,2,0,0,0,0,1,0,1,0,2,182.88,185.42,145,27,30,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,170.18,165.1,125,1,0,0,1,0,0,0,0,0,0,0,0,162.56,157.48,125,30,28,0,1,0,0,0,1,0,0
Blue,FALSE,5,0,2,9,4,5,0,0,5,9,0,0,14,193.04,195.58,238,1,0,6,4,1,0,1,1,10,0,0,12,190.5,200.66,260,35,34,0,1,0,0,0,1,0,0
Red,FALSE,3,0,3,3,0,0,0,0,2,1,0,0,3,187.96,193.04,170,0,6,6,1,0,0,1,2,3,0,0,6,180.34,185.42,170,31,32,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,2,3,0,0,0,0,2,2,0,4,182.88,193.04,170,0,1,4,8,0,0,1,3,5,1,0,10,187.96,190.5,170,29,35,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,4,4,0,0,0,1,3,2,0,6,193.04,198.12,265,1,0,0,1,0,0,0,0,0,0,0,0,180.34,185.42,250,37,32,0,1,0,0,0,0,1,0
Red,FALSE,3,0,3,3,5,0,0,0,3,2,1,0,6,172.72,177.8,155,0,1,5,5,0,0,1,4,1,3,0,9,177.8,182.88,155,30,29,0,0,1,0,0,0,1,0
Blue,FALSE,3,1,0,2,4,0,0,1,2,2,0,0,5,182.88,185.42,185,1,0,4,11,0,0,2,3,7,0,0,12,182.88,187.96,185,31,38,0,1,0,0,0,1,0,0
Red,FALSE,3,0,2,4,3,1,0,2,2,1,3,0,8,182.88,182.88,170,0,3,3,4,0,0,0,3,1,3,0,7,182.88,185.42,170,36,29,0,1,0,0,0,1,0,0
