"Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Bage"
0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,177.8,145,30
0,1,2,3,19,0,0,0,1,3,1,0,5,182.88,182.88,170,29
1,0,6,3,22,0,0,1,3,3,1,0,8,177.8,185.42,145,30
0,2,4,3,29,0,0,0,4,1,3,0,8,170.18,180.34,135,29
0,2,2,0,3,0,0,0,0,0,2,0,2,177.8,180.34,135,24
0,1,1,0,3,0,0,0,1,0,0,0,1,167.64,175.26,125,30
0,1,4,8,56,0,0,2,6,3,2,0,13,172.72,172.72,155,34
1,0,1,3,9,0,0,0,1,0,1,0,2,167.64,170.18,135,33
0,1,16,5,55,13,0,0,3,11,3,0,17,187.96,195.58,185,43
0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,190.349229017425,155,32
0,2,2,0,6,0,0,0,1,1,0,0,2,167.64,175.26,135,26
1,0,4,6,34,0,0,2,2,5,1,0,10,187.96,190.5,205,32
0,3,3,2,13,0,0,1,1,1,0,0,3,180.34,177.8,155,30
0,1,1,2,8,0,0,0,1,0,0,0,1,182.88,182.88,145,27
0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,175.26,125,23
1,0,3,3,16,0,0,1,0,0,2,0,3,175.26,185.42,135,31
1,0,0,1,1,0,0,0,0,0,0,0,0,190.5,195.58,155,23
1,0,0,1,3,0,0,0,0,0,0,0,0,172.72,177.8,135,32
0,3,3,1,8,0,0,1,0,2,0,0,3,167.64,170.18,135,30
0,2,3,1,15,0,0,2,1,0,2,0,5,180.34,182.88,145,29
0,1,1,1,6,0,0,0,0,2,0,0,2,182.88,187.96,170,33
0,5,5,0,13,0,0,0,3,2,0,0,5,175.26,185.42,155,29
1,0,3,1,10,0,0,1,1,0,1,0,3,193.04,203.2,205,30
0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,175.26,115,31
0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,190.5,185,25
0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,172.72,125,25
1,0,1,3,13,0,0,0,1,1,0,0,2,180.34,193.04,170,33
0,0,0,0,0,0,0,0,0,0,0,0,0,193.04,198.12,242,30
0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,175.26,135,24
0,1,1,0,3,0,0,1,0,0,0,0,1,172.72,177.8,135,26
0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,170.18,125,26
0,4,4,3,42,7,0,0,4,7,1,0,12,167.64,170.18,125,32
1,0,0,1,1,0,0,0,0,0,0,0,0,190.5,193.04,245,29
1,0,3,6,21,0,0,1,0,2,3,0,6,177.8,190.5,155,31
0,3,3,5,34,0,0,3,1,4,0,0,8,165.1,165.1,125,30
1,0,1,1,4,0,0,0,0,0,1,0,1,160.02,157.48,125,27
0,1,1,1,5,0,0,0,1,0,1,0,2,185.42,187.96,205,28
0,1,8,8,61,1,0,0,6,9,6,0,21,185.42,185.42,155,35
0,0,0,0,0,0,0,0,0,0,0,0,0,160.02,170.18,125,24
0,0,0,0,0,0,0,0,0,0,0,0,0,193.04,198.438926897962,185,29
0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,182.88,135,25
1,0,0,1,2,0,0,0,0,0,0,0,0,172.72,182.88,155,28
0,2,2,0,3,0,0,0,0,1,1,0,2,180.34,190.5,170,28
1,0,0,1,3,0,0,0,0,0,0,0,0,187.96,190.5,170,32
0,2,6,4,35,2,0,0,3,5,2,0,10,195.58,200.66,205,31
0,7,7,1,22,4,0,1,1,5,2,0,9,172.72,175.26,145,30
2,0,3,4,22,1,0,0,2,0,5,0,7,185.42,190.5,170,31
0,2,3,4,31,1,0,0,6,2,0,0,8,190.5,200.66,205,29
0,5,5,0,13,0,0,0,3,2,0,0,5,167.64,180.34,145,30
1,0,0,1,3,0,0,0,0,0,0,0,0,182.88,182.88,145,28
0,2,2,0,4,0,0,0,1,1,0,0,2,170.18,170.18,135,25
0,1,1,0,3,0,0,1,0,0,0,0,1,172.72,190.5,135,30
0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,200.66,185,27
0,3,3,2,14,0,0,0,0,3,1,0,4,180.34,185.42,170,34
1,0,0,1,3,0,0,0,0,0,0,0,0,177.8,190.5,135,26
1,0,5,3,28,2,0,1,3,4,0,0,8,177.8,177.8,155,31
0,4,4,3,20,0,0,0,0,5,2,0,7,182.88,190.5,155,28
1,0,4,4,37,0,0,1,7,0,0,0,8,167.64,175.26,135,25
0,2,4,9,39,0,0,0,1,0,11,0,12,177.8,187.96,155,29
0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,193.04,170,34
0,1,1,1,9,0,0,0,2,0,0,0,2,175.26,177.8,155,30
0,1,2,2,11,0,0,0,1,3,0,0,4,185.42,195.58,185,30
1,0,2,3,19,0,0,0,2,1,3,0,6,182.88,190.5,185,34
0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,182.88,145,28
1,0,0,1,3,0,0,0,0,0,0,0,0,193.04,208.28,205,30
0,0,0,0,0,0,0,0,0,0,0,0,0,195.58,203.2,265,26
0,6,6,1,16,0,0,0,0,3,3,0,6,172.72,175.26,145,27
0,1,8,2,40,8,0,1,6,2,0,0,9,167.64,165.1,125,31
1,0,4,3,21,0,0,0,1,0,6,0,7,180.34,182.88,170,30
1,0,1,3,15,0,0,1,1,0,0,0,2,170.18,177.8,145,31
0,2,4,5,27,0,0,0,2,9,0,0,11,187.96,193.04,205,34
0,3,3,2,15,0,0,0,2,0,1,0,3,165.1,162.56,115,33
1,0,3,3,19,0,0,0,1,2,3,0,6,177.8,180.34,155,32
0,2,2,6,26,0,0,1,1,0,0,1,3,167.64,167.64,125,32
1,0,2,2,15,0,0,0,1,2,0,0,3,185.42,190.5,185,31
2,0,2,3,12,0,0,0,1,1,0,0,2,170.18,175.26,135,31
4,0,1,5,11,2,0,0,1,0,0,0,1,187.96,187.96,170,29
0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,180.34,155,27
0,2,2,0,6,0,0,0,2,0,0,0,2,193.04,198.12,205,26
