"Winner","Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Rcurrentlosestreak","Rcurrentwinstreak","Rlongestwinstreak","Rlosses","Rtotalroundsfought","Rtotaltitlebouts","RwinbyDecisionMajority","RwinbyDecisionSplit","RwinbyDecisionUnanimous","RwinbyKOTKO","RwinbySubmission","RwinbyTKODoctorStoppage","Rwins","RHeightcms","RReachcms","RWeightlbs","Bage","Rage","BStanceOpen.Stance","BStanceOrthodox","BStanceSideways","BStanceSouthpaw","BStanceSwitch","RStanceOpen.Stance","RStanceOrthodox","RStanceSideways","RStanceSouthpaw","RStanceSwitch"
"Red",3,0,0,3,7,0,0,0,0,0,0,0,0,180.34,177.8,155,1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,177.8,155,32,24,0,1,0,0,0,0,1,0,0,0
"Red",1,0,4,4,31,1,0,2,2,1,3,0,8,182.88,182.88,170,1,0,4,3,22,1,0,0,2,0,3,1,6,180.34,182.88,170,36,28,0,1,0,0,0,0,1,0,0,0
"Blue",1,0,4,12,67,0,0,3,5,2,4,0,14,170.18,177.8,155,7,0,3,14,74,11,0,0,1,6,4,1,12,175.26,177.8,155,37,40,0,1,0,0,0,0,1,0,0,0
"Red",2,0,0,2,5,0,0,0,0,0,0,0,0,170.18,165.1,125,0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,175.26,125,30,25,0,1,0,0,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,170.18,135,0,2,2,0,5,0,0,0,0,1,1,0,2,170.18,170.18,135,22,32,0,0,0,1,0,0,1,0,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,172.72,135,0,1,1,2,9,0,0,0,1,0,0,0,1,162.56,172.72,135,32,32,0,1,0,0,0,0,1,0,0,0
"Blue",0,2,8,8,63,1,0,0,6,10,6,0,22,185.42,185.42,155,0,1,5,3,33,2,0,1,4,4,0,0,9,177.8,177.8,155,36,32,0,1,0,0,0,0,1,0,0,0
"Red",0,3,3,2,28,1,0,1,5,2,0,0,8,185.42,190.5,185,2,0,5,5,22,0,0,0,2,6,1,0,9,185.42,195.58,185,30,35,0,1,0,0,0,0,0,0,1,0
"Blue",0,1,3,1,13,0,0,0,2,1,1,0,4,180.34,190.5,145,3,0,6,6,46,0,0,0,6,4,0,0,10,172.72,177.8,145,28,35,0,1,0,0,0,0,1,0,0,0
"Blue",0,1,1,2,9,0,0,0,1,0,0,0,1,167.64,172.72,135,0,2,2,0,6,1,0,0,2,0,0,0,2,167.64,162.56,135,28,27,0,1,0,0,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,198.12,260,1,0,2,7,20,0,0,0,0,4,0,0,4,195.58,195.58,250,24,35,0,1,0,0,0,0,0,0,1,0
"Blue",0,1,2,2,15,1,0,0,3,0,0,0,3,185.42,187.96,185,0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,187.96,185,31,29,0,1,0,0,0,0,1,0,0,0
"Blue",1,0,0,1,3,0,0,0,0,0,0,0,0,170.18,177.8,135,1,0,1,1,6,0,0,0,1,0,0,0,1,172.72,172.72,135,28,31,0,1,0,0,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,177.8,170,2,0,3,4,23,0,0,1,3,2,0,0,6,185.42,187.96,170,29,37,0,0,0,1,0,0,1,0,0,0
"Blue",1,0,0,1,3,0,0,0,0,0,0,0,0,170.18,172.72,145,1,0,0,1,2,0,0,0,0,0,0,0,0,180.34,180.34,155,25,28,0,1,0,0,0,0,0,0,0,1
"Red",0,1,1,0,3,0,0,0,0,1,0,0,1,195.58,203.2,265,0,1,1,1,8,0,0,0,2,0,0,0,2,185.42,190.5,245,27,32,0,1,0,0,0,0,1,0,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,170.18,135,2,0,4,3,15,0,0,0,1,0,3,0,4,165.1,165.1,135,30,34,0,1,0,0,0,0,0,0,1,0
"Blue",0,3,3,2,13,0,0,0,1,3,2,0,6,185.42,195.58,185,0,1,5,3,23,0,0,0,1,4,4,0,9,185.42,182.88,185,30,39,0,1,0,0,0,0,1,0,0,0
"Red",2,0,0,2,3,0,0,0,0,0,0,0,0,187.96,187.96,253,1,0,0,1,2,0,0,0,0,0,0,0,0,195.58,203.2,265,36,30,0,0,0,0,1,0,1,0,0,0
"Blue",1,0,2,4,20,0,0,1,0,4,0,0,5,177.8,180.34,170,1,0,3,5,30,0,0,0,2,4,3,0,9,180.34,193.04,170,27,31,0,1,0,0,0,0,1,0,0,0
"Red",0,2,2,2,11,0,0,0,1,2,0,0,3,185.42,190.5,205,0,1,5,5,36,1,0,0,2,4,4,1,11,187.96,193.04,205,25,39,0,0,0,1,0,0,1,0,0,0
