"Fighter_ID","Fighter","Date","current_lose_streak","current_win_streak","longest_win_streak","losses","total_rounds_fought","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO_TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Height_cms","Reach_cms","Weight_lbs","age","Stance_Open_Stance","Stance_Orthodox","Stance_Southpaw","Stance_Switch"
145,"Azamat Gashimov","2013-05-18",1,0,0,1,1,0,0,0,0,0,0,0,0,167.64,167.64,125,23,0,1,0,0
146,"BJ Penn","2019-05-11",7,0,3,14,74,11,0,0,1,6,4,1,12,175.26,177.8,155,40,0,1,0,0
147,"Bart Palaszewski","2013-04-13",2,0,1,2,7,0,0,0,0,1,0,0,1,175.26,177.8,145,29,0,1,0,0
148,"Bartosz Fabinski","2018-11-17",0,3,3,0,9,0,0,0,3,0,0,0,3,182.88,190.5,170,32,0,1,0,0
149,"Bas Rutten","1999-05-07",0,1,1,0,2,0,0,0,0,1,0,0,1,185.42,190.349229017425,205,34,0,1,0,0
150,"Bea Malecki","2019-06-01",0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,187.96,135,27,0,1,0,0
151,"Bec Rawlings","2018-04-07",3,0,2,4,15,0,0,0,1,0,1,0,2,167.64,162.56,125,29,0,1,0,0
152,"Belal Muhammad","2019-04-13",1,0,4,3,22,0,0,1,3,1,0,0,5,180.34,182.88,170,30,0,1,0,0
153,"Ben Askren","2019-03-02",0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,185.42,170,34,0,1,0,0
154,"Ben Nguyen","2018-12-01",1,0,2,2,11,0,0,0,1,1,2,0,4,165.1,165.1,125,30,0,0,0,1
155,"Ben Rothwell","2019-03-09",1,0,4,4,23,0,0,0,1,3,2,0,6,193.04,198.12,265,37,0,1,0,0
156,"Ben Saunders","2019-04-27",2,0,3,8,33,0,0,1,2,3,3,0,9,187.96,195.58,170,36,0,1,0,0
157,"Ben Wall","2014-05-10",1,0,0,1,1,0,0,0,0,0,0,0,0,177.8,185.42,155,25,0,1,0,0
158,"Beneil Dariush","2019-03-09",0,1,5,5,30,0,0,1,4,1,3,0,9,177.8,182.88,155,29,0,0,1,0
159,"Benito Lopez","2019-02-17",0,1,1,0,3,0,0,0,1,0,0,0,1,177.8,185.42,135,24,0,0,0,1
160,"Benji Radach","2002-09-27",0,1,1,1,4,0,0,0,1,0,0,0,1,177.8,182.259531136887,185,23,0,1,0,0
161,"Benny Alloway","2013-08-28",1,0,1,1,4,0,0,0,0,1,0,0,1,180.34,190.5,170,32,0,1,0,0
162,"Benson Henderson","2015-11-28",0,1,7,3,47,5,0,3,5,0,2,0,10,175.26,177.8,170,32,0,0,1,0
163,"Bentley Syler","2015-03-21",0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,172.72,125,32,0,1,0,0
164,"Bernardo Magalhaes","2012-06-08",1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,165.1,155,31,0,1,0,0
