"Winner","B_current_lose_streak","B_current_win_streak","B_longest_win_streak","B_losses","B_total_rounds_fought","B_total_title_bouts","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_KO_TKO","B_win_by_Submission","B_win_by_TKO_Doctor_Stoppage","B_wins","B_Height_cms","B_Reach_cms","B_Weight_lbs","B_age","B_Stance_Open_Stance","B_Stance_Orthodox","B_Stance_Southpaw","B_Stance_Switch","R_current_lose_streak","R_current_win_streak","R_longest_win_streak","R_losses","R_total_rounds_fought","R_total_title_bouts","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_KO_TKO","R_win_by_Submission","R_win_by_TKO_Doctor_Stoppage","R_wins","R_Height_cms","R_Reach_cms","R_Weight_lbs","R_age","R_Stance_Open_Stance","R_Stance_Orthodox","R_Stance_Southpaw","R_Stance_Switch"
"Blue",1,0,2,3,13,0,0,0,3,0,0,0,3,182.88,190.5,205,29,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,182.88,193.04,205,27,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,155,24,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,190.5,195.58,155,25,0,1,0,0
"Red",1,0,5,4,36,1,0,1,3,1,4,1,10,175.26,195.58,170,26,0,1,0,0,2,0,5,9,74,4,0,0,10,4,3,0,17,172.72,177.8,170,34,0,0,1,0
"Blue",0,1,1,0,3,0,0,0,1,0,0,0,1,180.34,182.88,185,30,0,1,0,0,0,4,4,3,21,1,0,0,2,0,4,0,6,187.96,200.66,185,29,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,172.72,145,28,0,1,0,0,0,1,1,1,4,0,0,0,0,1,0,0,1,182.88,182.88,145,29,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,182.88,170,31,0,1,0,0,0,4,4,2,18,0,0,0,0,5,3,0,8,180.34,190.5,170,27,0,1,0,0
"Red",0,2,4,8,59,0,0,2,7,3,2,0,14,172.72,172.72,155,34,0,1,0,0,0,4,4,9,42,0,0,0,1,0,13,0,14,177.8,187.96,155,29,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,180.34,155,27,0,1,0,0,0,3,3,1,8,0,0,0,0,0,3,0,3,167.64,177.8,155,32,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,175.26,155,23,0,0,0,1,0,1,1,3,16,0,0,1,1,1,0,0,3,177.8,185.42,155,29,0,0,1,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,185.42,170,25,0,1,0,0,1,0,2,3,17,0,0,1,1,2,1,0,5,185.42,187.96,170,31,0,0,1,0
"Blue",0,1,1,0,3,0,0,0,1,0,0,0,1,177.8,182.88,145,25,0,0,0,1,0,2,2,0,6,1,0,2,0,0,0,0,2,180.34,180.34,155,27,0,1,0,0
"Blue",3,0,3,11,47,1,0,1,2,3,4,0,10,185.42,195.58,205,38,0,1,0,0,2,0,3,6,26,0,0,1,3,2,0,0,6,187.96,193.04,205,38,0,1,0,0
"Red",0,2,2,0,5,0,0,0,0,2,0,0,2,182.88,187.96,185,26,0,1,0,0,0,1,2,3,22,0,0,0,3,1,3,0,7,182.88,190.5,185,34,0,0,1,0
"Red",3,0,1,3,9,0,0,1,0,0,0,0,1,185.42,187.96,145,29,0,0,1,0,1,0,2,1,9,0,0,0,1,0,1,0,2,170.18,177.8,145,29,0,0,1,0
"Blue",0,3,3,4,33,1,0,1,5,2,2,0,10,154.94,157.48,115,27,0,1,0,0,0,3,3,2,23,3,0,0,2,1,3,0,6,165.1,165.1,115,26,0,1,0,0
