"Winner","B_current_win_streak","R_Reach_cms","R_losses","B_current_lose_streak","R_Stance_Southpaw","B_Stance_Southpaw","R_Stance_Switch","R_win_by_Submission","B_win_by_Decision_Split","B_Stance_Switch","R_Stance_Open_Stance"
"Blue",2,152.4,3,0,0,0,0,1,0,1,0
"Blue",2,165.1,2,0,0,0,0,0,0,0,0
"Blue",4,180.34,14,0,0,0,0,0,0,0,0
"Blue",2,195.58,2,0,0,0,0,4,0,0,0
"Red",4,162.56,1,0,0,0,0,0,1,0,0
"Red",1,182.88,11,0,1,0,0,0,0,1,0
"Red",0,193.045794977604,0,1,0,0,0,0,0,0,0
"Blue",0,170.18,1,1,0,0,0,1,0,0,0
"Blue",3,198.12,4,0,0,0,0,2,0,0,0
"Red",1,213.36,9,0,0,0,0,5,0,0,0
"Blue",0,193.04,7,1,0,1,0,0,0,0,0
"Red",0,167.64,4,1,0,0,0,0,0,0,0
"Blue",3,167.64,5,0,0,0,0,0,0,1,0
"Red",0,190.5,1,0,0,0,0,0,0,0,0
"Red",0,193.04,1,1,0,1,1,0,1,0,0
"Blue",0,175.26,2,1,0,0,0,0,0,0,0
"Blue",0,170.18,2,0,0,0,0,3,0,0,0
"Blue",3,185.42,2,0,0,0,0,0,0,0,0
"Red",0,182.259531136887,0,0,0,0,0,0,0,0,0
"Red",1,210.82,2,0,0,0,0,1,0,0,0
"Blue",0,193.04,2,1,0,0,0,3,1,0,0
"Blue",1,170.18,5,0,0,0,0,1,0,0,0
"Blue",0,185.42,10,0,1,1,0,2,0,0,0
"Red",1,190.5,2,0,0,1,0,3,0,0,0
"Red",0,187.96,5,1,0,0,0,0,1,0,0
"Blue",2,172.72,1,0,0,0,0,0,0,0,0
"Blue",2,185.42,0,0,0,0,1,0,0,0,0
"Blue",1,170.18,3,0,0,0,0,0,0,0,0
"Blue",1,175.26,2,0,0,0,0,1,2,0,0
"Blue",0,177.8,6,1,0,1,0,3,0,0,0
"Red",1,203.2,0,0,0,1,1,0,0,0,0
"Red",0,180.34,5,0,0,0,0,0,0,1,0
"Blue",2,170.18,4,0,0,0,0,6,0,0,0
"Red",0,187.96,0,1,0,1,0,1,2,0,0
"Red",3,193.04,0,0,0,0,0,0,1,0,0
"Red",1,182.88,1,0,0,0,0,0,0,0,0
"Red",0,175.26,0,0,0,0,0,0,0,0,0
"Blue",0,175.26,5,1,1,0,0,0,1,0,0
"Blue",0,182.88,0,1,0,1,0,0,0,0,0
"Blue",0,175.26,2,1,0,1,0,0,0,0,0
"Blue",3,167.64,2,0,0,0,0,1,1,0,0
"Red",2,177.8,3,0,0,0,0,0,2,0,0
"Red",1,182.88,9,0,1,0,0,9,0,0,0
"Red",5,187.96,9,0,0,1,0,12,0,0,0
"Red",0,208.28,0,1,0,0,0,0,1,0,0
"Red",0,160.02,0,0,0,1,0,1,0,0,0
"Red",0,185.42,2,0,0,0,0,1,0,0,0
"Red",0,175.26,1,0,0,0,0,1,0,0,0
"Red",0,177.8,10,1,0,0,0,1,0,0,0
"Blue",0,187.96,2,0,0,0,0,0,0,0,0
"Red",0,182.88,0,0,0,0,0,0,0,0,0
"Blue",1,182.88,0,0,0,0,0,0,1,0,0
"Blue",0,165.1,1,0,0,0,0,0,0,0,0
"Red",4,162.56,2,0,0,0,0,0,0,0,0
"Blue",0,203.2,0,1,0,0,0,0,0,0,0
"Red",0,180.34,0,1,0,0,0,2,1,0,0
